GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
771,1BNG,1,01-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),AL: Awami League,5,Rioters (Bangladesh),AL: Awami League,5,55,Bangladesh,Khulna,,Sharsha,Bagachra,22.95,88.96,1,United News of Bangladesh,"One person was injured in a gunfight between two groups of the ruling Awami League over taking control of a cattle market at Bagachra in Sharsha upazila of the district on Thursday night. 
Police arrested two people along with three bombs from the spot. 
Later police arrested UP chairman Bakul on the following day.
As a sequel to the enmity, a chase and counter-chase took place between the supporters of Bakul and Abdul Latif in the area around 10:30 pm on Thursday.
At one stage, both the groups exchanged fire during the incident, leaving an unidentified young man injured.
About 4-5 bombs were exploded in the incident.",0
771,2BNG,2,01-January-2015,2015,1,Riots/Protests,Protesters (Bangladesh),JeI: Jamaat-e-Islami,6,Police Forces of Bangladesh,,1,16,Bangladesh,Dhaka,,Dhaka,Dhaka,23.42,90.22,3,The Financial Express (Bangladesh),"The last day of the two-day nationwide shutdown enforced by Bangladesh Jamaat-e-Islami passed off in a relaxed mood as a significant number of vehicles and shops come into the business Thursday.
During the hartal hours, government and non-government offices, business organisations, factories, industries and other functional bodies continued their operations like every other working day ignoring the call of shutdown (hartal).
Educational institutions were also found opening their gates as students went to their schools to receive free textbooks defying hartal enforced by the Jamaat protesting death sentence to its senior leader ATM Azharul Islam in a war crimes case.
No major incident was, however, reported during the hartal hours in the city as heavy contingents of police and Rapid Action Battalion members were deployed in different parts of the capital to avert any untoward incident.
Besides, plainclothes police with cameras were put on alert at a number of strategic points in the city to identify the troublemakers during the shutdown.
The only reported incident was that the pickets in a brisk procession torched a bus, which was parked in Gabtoli Police Box area at about 10:15am. But no one was hurt in the arson attack as there was no passenger in the vehicle.",0
771,3BNG,3,01-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,Rioters (Bangladesh),,5,55,Bangladesh,Rangpur,Dinajpur,Parbatipur,Parbatipur,25.66,88.93,1,The New Nation (Bangladesh),"A freedom fighter (FF) was killed and four others were injured in an attack allegedly by his rival neighbours in Parbatipur upazila in Dinajpur over the ownership of a disputed land on Thursday night. The deceased, Md Nurul Islam, 68, son of Hezab Uddin of Khagrabond-Paschimpara village of the upazila, was a member of Muktijoddha Sangsad's Parbatipur upazila unit. Police quoted victim's family members as saying that there had been a long standing rivalry between Nurul Islam and two brothers, Ansar Ali and Afsar Ali of the village, over a disputed land. As a sequel of the previous enmity, a group of 20/25 people led by the two brothers went to Nurul's house and started to beat up Nurul and his other family members. At one stage of the beating, Nurul died on the spot.",1
771,4BNG,4,01-January-2015,2015,1,Battle-No change of territory,Unidentified Communal Group (Bangladesh),,4,Police Forces of Bangladesh,,1,14,Bangladesh,Sylhet,,Sunamganj,Sunamganj,25.06,91.40,1,United News of Bangladesh,"Sunamganj, Jan 2 (UNB) Over 50 people were injured in a clash between two groups of locals over irrigating crops at Baromoha village in South Sunamganj upazila on Friday morning.
Police said an altercation took place on Thursday between the supporters of Shahi Alam Khan and Fazlu Master of the village over irrigating their land in a haor.
As a sequel of the incident, the both groups, equipped with local weapons, were locked in a clash around 9am on Friday.
A chase and counter-chase took place during the two-hour long melee that left 50 people injured from the both groups.On information, police rushed in and brought the situation under control.",0
771,5BNG,5,02-January-2015,2015,1,Riots/Protests,Protesters (Bangladesh),,6,,,0,60,Bangladesh,Barisal,Patuakhali,,Patuakhali,22.33,90.33,2,United News of Bangladesh,"Bus owners went on a wildcat indefinite transport strike in the district on Friday, protesting the blocking of some Kuakata-bound buses from the district at Amtali by their Barguna counterparts.
In support of the strike, members of Patuakhali Bus Owners' Association laid a blockade at Patuakhali bus stand since 12pm, disrupting road communication on Patuakhali-Barisal, Patuakhali-Kuakata and other internal routes of the district.",0
771,6BNG,6,02-January-2015,2015,1,Violence against civilians,Unidentified Communal Group (Bangladesh),,4,Civilians (Bangladesh),,7,47,Bangladesh,Barisal,Barisal,Wazirpur,Wazirpur,22.82,90.24,1,The New Nation (Bangladesh),"A school teacher chopped to death at Shikarpur under Wazirpur upazila of Barisal on Friday night. Unidentified assailants ambushed and severely chopped Bipul Chakraborty on the way to home about one kilometer far from the Mandir.Local people rushed to the spot brought him to Wazirpur upazila health complex and he succumbed to injuries there at about 8:30 PM, police sources said. Asim Chakraborty, nephew of the victim, said the victim had some old rivalry over land properties with some locals and that could lead the killing.",1
771,7BNG,7,03-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),JDC: Bangladesh Jatiotabadi Chatra Dal,5,Police Forces of Bangladesh,,1,15,Bangladesh,Sylhet,Sylhet,Bishwanath,Bishwanath,24.80,91.76,1,United News of Bangladesh,"At least 10 people were injured in a clash between two factions of Jatiyatabadi Chhatra Dal (JCD) in Bishwanath upazila on Saturday.
Rafiqul Islam, officer-in-charge of Bishwanath Police Station, said convener of the upazila JCD Matiur Rahman Sumon and convening committee member Shah Amir Uddin had long been at loggerheads over forming the new committee of the unit.
A chase and counter-chase took place during the melee that left at least 10 people injured from the both sides. Being informed, police rushed in and bought the situation under control.",0
771,8BNG,8,03-January-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BJP: Bangladesh Jatiya Party,6,Police Forces of Bangladesh,,1,16,Bangladesh,Barisal,Bhola,Bhola Sadar,Bola,22.68,90.64,1,United News of Bangladesh,Police on Saturday foiled the procession of Bangladesh Jatiya Party (BJP) activists brought out in the district town demanding the withdrawal of a 'false' case against their chairman Andaleeve Rahman Partha.,0
771,9BNG,9,03-January-2015,2015,1,Riots/Protests,Protesters (Bangladesh),,6,,,0,60,Bangladesh,Barisal,Patuakhali,,Patuakhali,22.33,90.33,2,The Financial Express (Bangladesh),"The strike by bus owners in Patuakhali district entered its 2nd day on Saturday, augmenting the sufferings of Kuakat-bound passengers and tourists.",0
771,10BNG,10,04-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,,,0,50,Bangladesh,Dhaka,Dhaka,Savar,Ashulia,23.89,90.32,1,The Financial Express (Bangladesh),"Local people said in separate attacks,unidentified assailants vandalised a good number of vehicles in Ashulia",0
